"","x"
"1",62
"2",73
"3",53
"4",43
"5",63
"6",78
"7",50
"8",52
"9",55
"10",66
"11",70
"12",79
"13",93
"14",67
"15",82
"16",71
"17",52
"18",56
"19",63
"20",82
"21",45
"22",66
"23",74
"24",47
"25",66
"26",83
"27",66
"28",59
"29",74
"30",71
"31",55
"32",78
"33",65
"34",69
"35",75
"36",78
"37",75
"38",56
"39",84
"40",82
"41",73
"42",70
"43",70
"44",78
"45",55
"46",83
"47",72
"48",81
"49",78
"50",78
"51",80
"52",80
"53",78
"54",74
"55",36
"56",70
"57",52
"58",66
"59",56
"60",68
"61",65
"62",70
"63",64
"64",73
"65",89
"66",86
"67",74
"68",67
"69",59
"70",50
"71",62
"72",73
"73",73
"74",55
"75",58
"76",67
"77",63
"78",62
"79",67
"80",64
"81",70
"82",75
"83",59
"84",62
"85",83
"86",56
"87",59
"88",59
"89",67
"90",63
"91",64
"92",83
"93",78
"94",72
"95",48
"96",68
"97",85
"98",79
"99",79
"100",80
