"","x"
"1",85
"2",36
"3",65
"4",65
"5",93
"6",41
"7",84
"8",76
"9",86
"10",79
"11",56
"12",77
"13",25
"14",85
"15",53
"16",83
"17",34
"18",51
"19",72
"20",52
"21",79
"22",63
"23",40
"24",63
"25",69
"26",73
"27",85
"28",60
"29",59
"30",83
"31",55
"32",74
"33",79
"34",46
"35",99
"36",73
"37",73
"38",99
"39",81
"40",92
"41",49
"42",81
"43",91
"44",68
"45",63
"46",59
"47",78
"48",58
"49",46
"50",40
"51",61
"52",78
"53",77
"54",78
"55",78
"56",96
"57",79
"58",79
"59",52
"60",66
"61",63
"62",64
"63",71
"64",63
"65",95
"66",52
"67",74
"68",60
"69",80
"70",71
"71",84
"72",84
"73",77
"74",38
"75",86
"76",46
"77",51
"78",52
"79",79
"80",56
"81",71
"82",49
"83",87
"84",56
"85",68
"86",67
"87",53
"88",50
"89",34
"90",47
"91",50
"92",58
"93",15
"94",89
"95",50
"96",94
"97",85
"98",63
"99",59
"100",58
"101",40
"102",56
"103",54
"104",55
"105",67
"106",89
"107",74
"108",54
"109",67
"110",80
"111",46
"112",50
"113",95
"114",95
"115",71
"116",78
"117",92
"118",62
"119",58
"120",57
"121",97
"122",73
"123",90
"124",96
"125",58
"126",64
"127",94
"128",84
"129",83
"130",89
"131",67
"132",35
"133",46
"134",86
"135",62
"136",58
"137",79
"138",17
"139",88
"140",69
"141",72
"142",76
"143",74
"144",23
"145",82
"146",86
"147",61
"148",85
"149",67
"150",82
"151",59
"152",87
"153",59
"154",71
"155",72
"156",41
"157",40
"158",53
"159",53
"160",55
"161",69
"162",68
"163",69
"164",72
"165",79
"166",69
"167",71
"168",54
"169",78
"170",42
"171",69
"172",78
"173",67
"174",63
"175",54
"176",91
"177",83
"178",60
"179",72
"180",66
"181",64
"182",71
"183",43
"184",37
"185",56
"186",66
"187",87
"188",72
"189",71
"190",76
"191",45
"192",87
"193",81
"194",38
"195",76
"196",58
"197",71
"198",58
"199",98
"200",94
